disc_loss,gen_loss,valid
0.0327853,-0.32602146,0.79
0.04364444,-0.12470924,0.77
0.05545118,0.099726,0.81
0.05597493,0.32761851,0.86
0.0389546,-0.3303844,0.64
0.0216079,-0.476971,0.68
0.0447166,0.19348195,0.98
0.04796499,0.00552889,0.89
0.04982227,-0.30969048,0.77
0.04131776,0.02864865,0.95
0.0441286,0.22761108,0.86
0.04169513,0.12666753,0.8
0.06247855,0.45658982,0.85
0.04381273,0.27731451,0.92
0.02809339,0.01563374,0.86
0.07792826,-0.28483999,0.81
0.05517147,0.53022766,0.88
0.04681264,0.10154878,0.77
0.0343463,-0.43744245,0.87
0.05193149,0.49615204,0.96
0.01784426,-0.38087109,0.89
0.02933634,-0.04553358,0.88
0.06456831,-0.04843199,0.91
0.06911449,0.02976468,0.72
0.06911299,0.04545343,0.73
0.03329071,0.00067304,0.92
0.04422731,1.0039556,0.65
0.0397866,0.1432694,0.96
0.04846517,0.62637454,0.83
0.04471088,0.04215893,0.91
0.04514352,0.46888855,0.84
0.05490056,-0.05271307,0.81
0.05654904,0.06347638,0.94
0.03402046,-0.2355656,0.77
0.05590688,0.04046119,0.88
0.0451271,-0.09293432,0.86
0.03704728,-0.29689962,0.78
0.02829277,-0.11333857,0.79
0.01908052,-0.63915038,0.85
0.04440769,-0.03939106,0.91
0.04644752,0.09940105,0.79
0.01769684,-0.31669423,0.77
0.03587813,0.14123514,0.93
0.02850451,-0.4943921,0.86
0.08314416,0.39171222,0.81
0.04121961,0.35042334,0.91
0.10047547,0.42764291,0.91
0.07438809,0.24995965,0.91
0.05010744,0.53558803,0.83
0.03859077,0.08290557,0.8
0.05577978,-0.47260591,0.86
0.04542929,0.29877481,0.77
0.04774788,0.3084994,0.74
0.11241224,0.27848876,0.74
0.04295232,-0.37017566,0.84
0.04586465,0.00609805,0.76
0.04975536,-0.0743963,0.88
0.02669344,-0.35252172,0.91
0.05253057,0.0872652,0.7
0.05060589,-0.10207517,0.87
0.04073234,-0.3450751,0.92
0.05217075,-0.17399471,0.7
0.06545487,-0.21611065,0.75
0.08153872,-0.01315507,0.91
0.03290415,-0.25165287,0.76
0.04687292,0.03766343,0.85
0.06821021,-0.09818288,0.83
0.09395929,0.06246234,0.87
0.04709217,-0.3150242,0.86
0.06052266,0.0820047,0.86
0.0302266,0.0017732,0.87
0.0399121,0.01966037,0.85
0.06140811,0.13792022,0.65
0.03010155,-0.04344839,0.93
0.08584073,0.62154311,0.84
0.03949001,-0.10744075,0.84
0.06051891,0.33922213,0.9
0.03387172,0.12604791,0.84
0.07494116,0.06090234,0.76
